,0
1691,348584000
1692,235923008
1693,136596000
1694,45540400
1695,63723400
1696,33150200
1697,136127008
1698,44788400
1699,40127500
1700,48260400
1701,16295500
1702,26612800
1703,33040800
1704,43291700
1705,43058300
1706,12960800
1707,161472000
1708,39911400
1709,42437600
1710,94491400
1711,393800000
1712,34201700
1713,105526000
1714,174792992
1715,27479400
1716,30601300
1717,100670000
1718,31474200
1719,260375008
1720,436675008
1721,115695000
1722,62792200
1723,27434700
1724,78483600
1725,18787800
1726,100624000
1727,15157900
1728,19476200
1729,72958304
1730,7040970
1731,137646000
1732,1172889984
1733,17212400
1734,32466200
1735,17108800
1736,1124930048
1737,15773700
1738,242182000
1739,39009000
1740,51697400
1741,387356992
1742,115685000
1743,28306900
1744,60271400
1745,48963100
1746,40214700
1747,53736000
1748,67362200
1749,59652500
1750,35780200
1751,19955400
1752,144744992
1753,40655700
1754,18743000
1755,51997900
1756,55230600
1757,55157000
1758,7309120
1759,209116992
1760,97607696
1761,46387400
1762,86857904
1763,169616992
1764,39048700
1765,67993800
1766,23455200
1767,36645600
1768,214432000
1769,28166700
1770,63258400
1771,116327000
1772,209700000
1773,122873000
1774,959680000
1775,15031700
1776,8112420
1777,52305700
1778,65573000
1779,37186200
1780,32144400
1781,17483200
1782,35566200
1783,19238700
1784,9258000
1785,25948700
1786,115252000
1787,44922700
1788,165276000
1789,11175000
1790,18124000
1791,13526600
1792,113273000
1793,144668000
1794,15300300
1795,69049104
1796,19979300
1797,77005904
1798,44114100
1799,32705400
1800,32408900
1801,18662100
1802,115824000
1803,101744000
1804,327767008
1805,25039700
1806,104397000
1807,28811100
1808,355387008
1809,96244000
1810,214122000
1811,50419400
1812,129491000
1813,7322530
1814,12882700
1815,71140800
1816,63640800
1817,318100000
1818,24575400
1819,73814800
1820,1515160064
1821,107287000
1822,80428400
1823,120330000
1824,27532900
1825,29315100
1826,19816000
1827,59000900
1828,57030200
1829,22748400
1830,114838000
1831,121809000
1832,63179900
1833,38117400
1834,129232000
1835,44091800
1836,273756000
1837,51034700
1838,22237800
1839,15452800
1840,51917800
1841,30677700
1842,26072700
1843,57922700
1844,90042896
1845,9655560
1846,9505760
1847,47322800
1848,50115700
1849,68540000
1850,102264000
1851,111625000
1852,9417930
1853,55400000
1854,116786000
1855,53519600
1856,11806700
1857,205559008
1858,33012000
1859,50203100
1860,1168300032
1861,321118016
1862,773059008
1863,32614500
1864,26943100
1865,1287379968
1866,178144000
1867,22472600
1868,89437696
1869,25345800
1870,14088500
1871,12119900
1872,35779500
1873,50101200
1874,100224000
1875,78211400
1876,147932000
1877,133977000
1878,7418540
1879,131923000
1880,68652200
1881,53844000
1882,56522100
1883,119398000
1884,117787000
1885,108948000
1886,15314700
1887,173102000
1888,23993000
1889,116211000
1890,49289900
1891,38173100
1892,12519600
1893,49842000
1894,222854000
1895,83169104
1896,90800000
1897,28427100
1898,25181900
1899,50033400
1900,81047400
1901,59707600
1902,31353900
1903,4379120128
1904,41877800
1905,51490300
1906,84686496
1907,92447600
1908,28493200
1909,93076704
1910,135319008
1911,56665700
1912,50257400
1913,43687300
1914,1387810048
1915,73807104
1916,45987600
1917,77590896
1918,110871000
1919,375096000
1920,17768000
1921,112989000
1922,119346000
1923,9128290
1924,55502000
1925,23027200
1926,22313200
1927,95378496
1928,65132000
1929,54354200
1930,44600800
1931,41756300
1932,30240800
1933,82880200
1934,51476000
1935,1055960000
1936,29394900
1937,100338000
1938,24297700
1939,110002000
1940,22997100
1941,35427100
1942,43056300
1943,18056000
1944,14395500
1945,158838000
1946,27239200
1947,19005200
1948,185955008
1949,105544000
1950,34927800
1951,40404000
1952,43230000
1953,169755008
1954,44559400
1955,362988000
1956,25535600
1957,91413104
1958,13605800
1959,292532992
1960,38552900
1961,26986900
1962,29678400
1963,44365500
1964,256059008
1965,11399300
1966,35631000
1967,54436900
1968,157162000
1969,148712992
1970,177482000
1971,39125400
1972,23679900
1973,43700000
1974,18729000
1975,212679008
1976,52472800
1977,32959800
1978,244158000
1979,22214600
1980,282254016
1981,17938100
1982,98269504
1983,114111000
1984,52537700
1985,138070000
1986,50842600
1987,31862200
1988,102820000
1989,311801984
1990,154127008
1991,166836000
1992,31195600
1993,541689024
1994,43001400
1995,55117900
1996,82761200
1997,12452700
1998,42357700
1999,32459400
2000,583708032
2001,375377984
2002,40503700
2003,33940400
2004,9058040
2005,45690700
2006,507198016
2007,7125000192
